AAAAMMJJ,RR,TNTXM,TNTXM_moy_mois,GLOT_moy_mois
19891012,0,12.5,12.4064516129032,724.161290322581
19891013,1.6,13.4,12.4064516129032,724.161290322581
19891014,0.2,9.6,12.4064516129032,724.161290322581
19891015,0,8.2,12.4064516129032,724.161290322581
19891016,0,9.7,12.4064516129032,724.161290322581
19891017,0,10.6,12.4064516129032,724.161290322581
19891018,0,11.7,12.4064516129032,724.161290322581
19891019,5,12.9,12.4064516129032,724.161290322581
19891020,0.4,14.2,12.4064516129032,724.161290322581
19891021,0,16.9,12.4064516129032,724.161290322581
19891022,0,16.9,12.4064516129032,724.161290322581
19891023,0,15.7,12.4064516129032,724.161290322581
19891024,0,15.3,12.4064516129032,724.161290322581
19891025,0,11.9,12.4064516129032,724.161290322581
19891026,0,13.9,12.4064516129032,724.161290322581
19891027,0,15,12.4064516129032,724.161290322581
19891028,4.4,11.5,12.4064516129032,724.161290322581
19891029,8.4,10.9,12.4064516129032,724.161290322581
19891030,3.4,14,12.4064516129032,724.161290322581
19891031,4.4,14,12.4064516129032,724.161290322581
19891101,13.8,11.2,5.16,457.033333333333
19891102,8.6,13.1,5.16,457.033333333333
19891103,1,9.4,5.16,457.033333333333
19891104,5,6.3,5.16,457.033333333333
19891105,0.2,6.5,5.16,457.033333333333
19891106,0,6.2,5.16,457.033333333333
19891107,0,4.7,5.16,457.033333333333
19891108,2,10,5.16,457.033333333333
19891109,0.4,7,5.16,457.033333333333
19891110,8,7.8,5.16,457.033333333333
19891111,0,7.6,5.16,457.033333333333
19891112,0,7.9,5.16,457.033333333333
19891113,0,7.3,5.16,457.033333333333
19891114,0,5.7,5.16,457.033333333333
19891115,0,4.5,5.16,457.033333333333
19891116,0,4.7,5.16,457.033333333333
19891117,0,3.4,5.16,457.033333333333
19891118,0,5.6,5.16,457.033333333333
19891119,0,5.4,5.16,457.033333333333
19891120,0.2,7.6,5.16,457.033333333333
19891121,0.8,9.4,5.16,457.033333333333
19891122,0.8,5.6,5.16,457.033333333333
19891123,0,2.7,5.16,457.033333333333
19891124,0,-1.2,5.16,457.033333333333
19891125,0,0,5.16,457.033333333333
19891126,0,-2.8,5.16,457.033333333333
19891127,0,-0.3,5.16,457.033333333333
19891128,0,1.1,5.16,457.033333333333
19891129,0,0.7,5.16,457.033333333333
19891130,0,-2.3,5.16,457.033333333333
19891201,0,-4,4.21935483870968,220.064516129032
19891202,0,-0.5,4.21935483870968,220.064516129032
19891203,0,-0.4,4.21935483870968,220.064516129032
19891204,0,1.1,4.21935483870968,220.064516129032
19891205,0,-0.3,4.21935483870968,220.064516129032
19891206,0,0.2,4.21935483870968,220.064516129032
19891207,0,3.5,4.21935483870968,220.064516129032
19891208,0,2.5,4.21935483870968,220.064516129032
19891209,0,0.9,4.21935483870968,220.064516129032
19891210,0,-2,4.21935483870968,220.064516129032
19891211,0,-3.4,4.21935483870968,220.064516129032
19891212,7,0.2,4.21935483870968,220.064516129032
19891213,9.2,6.9,4.21935483870968,220.064516129032
19891214,1.4,11,4.21935483870968,220.064516129032
19891215,18.6,12,4.21935483870968,220.064516129032
19891216,2.8,13,4.21935483870968,220.064516129032
19891217,0.4,12.1,4.21935483870968,220.064516129032
19891218,3.8,10.2,4.21935483870968,220.064516129032
19891219,10.6,7.3,4.21935483870968,220.064516129032
19891220,1.6,8.7,4.21935483870968,220.064516129032
19891221,5.8,13.4,4.21935483870968,220.064516129032
19891222,14,9.5,4.21935483870968,220.064516129032
19891223,8.8,6.2,4.21935483870968,220.064516129032
19891224,0,8.9,4.21935483870968,220.064516129032
19891225,0,8.7,4.21935483870968,220.064516129032
19891226,0,4.7,4.21935483870968,220.064516129032
19891227,0,1.5,4.21935483870968,220.064516129032
19891228,0,-0.2,4.21935483870968,220.064516129032
